spp,Lat,Lon
aspiculosa,15.66666667,-92.8
biseriata,19.2833,-99.15
biseriata,17.76551,-100.6625
cyclantherae,19.0016,-99.2594
MEX001_nr_biseriata,19.24138889,-97.19833333
MEX002_spn_zapoteca,17.84166667,-96.88055556
MEX003_nr_ruptafascia,19.46638889,-96.93416667
MEX006_diva,14.81416667,-92.33972222
MEX006_diva,17.54527778,-99.13694444
MEX006_diva,18.23489722,-100.9036778
MEX006_diva,18.30901389,-97.54525833
MEX006_diva,18.90583333,-100.1527778
MEX006_diva,19.14888889,-102.3288889
MEX006_diva,19.1775,-96.97222222
MEX006_diva,19.18166667,-96.97416667
MEX006_diva,19.19083333,-96.98833333
MEX006_diva,19.20611111,-96.88444444
MEX006_diva,19.21333333,-96.88055556
MEX006_diva,19.26766389,-96.84998056
MEX006_diva,19.32055556,-96.71805556
MEX006_diva,19.35166667,-104.9433333
MEX006_diva,19.36351667,-96.87950833
MEX006_diva,19.365075,-96.88876667
MEX006_diva,19.369968,-96.681938
MEX006_diva,19.37027778,-96.88083333
MEX006_diva,19.37086111,-96.68205278
MEX006_diva,19.42916667,-96.96416667
MEX006_diva,19.45194444,-96.93805556
MEX006_diva,19.45605556,-96.93347222
MEX006_diva,19.46638889,-96.93416667
MEX006_diva,19.50911111,-96.94319444
MEX006_diva,19.51213056,-96.9421
MEX006_diva,19.513565,-96.940872
MEX006_diva,19.535,-96.825
MEX006_diva,19.53833333,-96.94
MEX006_diva,19.54,-96.9275
MEX006_diva,19.61194444,-96.85944444
MEX006_diva,19.68536111,-96.85402222
MEX006_diva,19.77083333,-97.28194444
MEX006_diva,21.66638889,-104.8402778
MEX008_nr_splendida_1,19.1775,-96.97222222
MEX009_splendida,18.387275,-95.2013027
MEX009_splendida,18.57653,-95.082619
MEX009_splendida,18.584899,-95.07393
MEX009_splendida,19.21583333,-96.88527778
MEX009_splendida,19.42916667,-96.96416667
MEX009_splendida,19.45694444,-96.95805556
MEX009_splendida,19.46638889,-96.93416667
MEX009_splendida,19.51213056,-96.9421
MEX009_splendida,19.5129,-96.9467
MEX009_splendida,21.39483,-98.997438
MEX009_splendida,21.5038,-105.1583
MEX009_splendida,23.065108,-99.130258
MEX009_splendida,23.1424,-99.2104027
MEX010_punctistigma,15.6666,-92.75
MEX010_punctistigma,18.57653,-95.082619
MEX010_punctistigma,18.584899,-95.07393
MEX010_punctistigma,18.66645556,-97.000055
MEX010_punctistigma,18.66684722,-97.00012222
MEX010_punctistigma,18.72944444,-97.07027778
MEX010_punctistigma,19.18166667,-96.97416667
MEX010_punctistigma,19.19083333,-96.98833333
MEX010_punctistigma,19.46638889,-96.93416667
MEX010_punctistigma,19.535,-96.825
MEX010_punctistigma,19.543775,-96.91018
MEX010_punctistigma,20.52186,-96.99083
MEX017_spn_alleni,19.24138889,-97.19833333
MEX017_spn_alleni,19.25333333,-97.18138889
MEX017_spn_alleni,19.535,-96.825
MEX017_spn_alleni,19.54,-96.9275
MEX017_spn_alleni,19.54,-96.9275
MEX021_spn_martyae,18.652975,-96.99744722
MEX021_spn_martyae,18.66684722,-97.00012222
MEX021_spn_martyae,18.72944444,-97.07027778
MEX021_spn_martyae,19.54,-96.9275
MEX023_femoralis,15.6666,-92.75
MEX023_femoralis,16.7335,-92.6272
MEX023_femoralis,16.7503,-92.6268
MEX023_femoralis,16.7532,-92.6297
MEX023_femoralis,17.141325,-96.66915
MEX023_femoralis,17.5,-99.6761
MEX023_femoralis,18.7822,-97.4296
MEX023_femoralis,19.0487,-99.3139
MEX023_femoralis,19.40209722,-102.0744444
MEX023_femoralis,19.4326,-99.1332
MEX023_femoralis,19.4798,-99.1919
MEX023_femoralis,19.543775,-96.91018
MEX024_io,19.19083333,-96.98833333
MEX024_io,19.46638889,-96.93416667
MEX024_io,18.81666,-97.01666
MEX025_mexicana,17.54527778,-99.13694444
MEX025_mexicana,19.39968,-99.1885
MEX025_mexicana,19.4326,-99.1332
MEX025_mexicana,19.46161,-98.8921
MEX025_mexicana,19.4798,-99.1919
MEX025_mexicana,19.48954,-98.89418
MEX025_mexicana,20.55,-102.5083333
MEX025_mexicana,21.36346,-102.84366
MEX026_poecilosoma,19.2375,-104.5619444
MEX026_poecilosoma,14.81416667,-92.33972222
MEX026_poecilosoma,16.58861111,-95.19222222
MEX026_poecilosoma,19.32055556,-96.71805556
MEX026_poecilosoma,19.08805556,-102.3508333
